Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2019,3,Mendoza,5.26504085640084,18.8669206492172
2019,3,Misiones,11.4835430396804,42.1606185954686
2019,3,Neuquén,11.7818265956491,39.5804567723196
2019,3,Río Negro,15.0707359677254,48.9969495310014
2019,3,Salta,13.3685643604746,55.1977972084304
2019,3,San Juan,3.97511966171832,15.6051310652538
2019,3,San Luis,9.85081154148155,34.4203653538932
2019,3,Santa Cruz,13.422959333249601,45.1099246525855
2019,3,Santa Fe,18.6580731680662,59.3364203117872
2019,3,Santiago Del Estero,9.24486791425767,37.250756040012
2019,3,Tierra Del Fuego,25.2314719437757,85.1039329746471
2019,3,Tucumán,6.55027143062324,26.4430340765833
2019,2,Buenos Aires,15.4828178580308,47.2846084908126
2019,2,Capital Federal,26.3867497347557,63.2934710630216
2019,2,Catamarca,8.03974552753464,31.6055444636563
2019,2,Chaco,9.10780762736614,34.0758951559223
2019,2,Chubut,14.424207927063,47.0545302328577
2019,2,Córdoba,28.6021308197719,93.4180205497497
2019,2,Corrientes,9.76292107607404,37.0750428420437
2019,2,Entre Ríos,15.4222304166809,51.5798812529857
2019,2,Formosa,10.1878280238211,40.0268561883863
2019,2,Jujuy,11.6248844731978,45.4580456377217
2019,2,La Pampa,23.4035723939094,71.0304811874589
2019,2,La Rioja,6.67266391034035,25.0656002788617
2019,2,Mendoza,7.09698626907651,25.4309277599767
2019,2,Misiones,11.3541382464812,41.6841218356062
2019,2,Neuquén,12.0925508762552,40.6227393760293
2019,2,Río Negro,14.7470006985371,47.9429040110064
2019,2,Salta,13.2014547214393,54.5059988892578
2019,2,San Juan,5.6146598892738,22.0410674068764
2019,2,San Luis,10.6808197515699,37.3195373467113
2019,2,Santa Cruz,14.7626246164567,49.6086188826046
2019,2,Santa Fe,17.1960409636898,54.6861071335619
2019,2,Santiago Del Estero,11.2619396343663,45.3775352963225
2019,2,Tierra Del Fuego,27.1343955458153,91.5158416237165
2019,2,Tucumán,7.02292257444397,28.3503612294833
2019,1,Buenos Aires,15.5226987537364,47.5129694542875
2019,1,Capital Federal,25.7004917445534,61.571859908093
2019,1,Catamarca,8.06527033609352,31.7060327247312
2019,1,Chaco,9.00998679084951,33.7102348919346
