Id_Provincia,Provincia,Fecha,Accesos TV por suscripción (Vrf)
3,Catamarca,2017-12-31,29391
4,Chaco,2017-12-31,101423
5,Chubut,2017-12-31,71048
6,Córdoba,2017-12-31,1040718
7,Corrientes,2017-12-31,105842
8,Entre Ríos,2017-12-31,209564
9,Formosa,2017-12-31,49087
10,Jujuy,2017-12-31,87008
11,La Pampa,2017-12-31,84075
12,La Rioja,2017-12-31,23707
13,Mendoza,2017-12-31,113934
14,Misiones,2017-12-31,133485
15,Neuquén,2017-12-31,77174
16,Río Negro,2017-12-31,90862
17,Salta,2017-12-31,176445
18,San Juan,2017-12-31,39494
19,San Luis,2017-12-31,62682
20,Santa Cruz,2017-12-31,50206
21,Santa Fe,2017-12-31,628931
25,Santiago del Estero,2017-12-31,96330
26,Tierra del Fuego,2017-12-31,40083
24,Tucumán,2017-12-31,117365
1,Buenos Aires,2017-09-30,2571840
2,Capital Federal,2017-09-30,707800
3,Catamarca,2017-09-30,40773
4,Chaco,2017-09-30,90293
5,Chubut,2017-09-30,70166
6,Córdoba,2017-09-30,1024289
7,Corrientes,2017-09-30,93730
8,Entre Ríos,2017-09-30,165363
9,Formosa,2017-09-30,49376
10,Jujuy,2017-09-30,84664
11,La Pampa,2017-09-30,99694
12,La Rioja,2017-09-30,23965
13,Mendoza,2017-09-30,113715
14,Misiones,2017-09-30,125110
15,Neuquén,2017-09-30,109995
16,Río Negro,2017-09-30,57889
17,Salta,2017-09-30,254908
18,San Juan,2017-09-30,39530
19,San Luis,2017-09-30,62617
20,Santa Cruz,2017-09-30,47927
21,Santa Fe,2017-09-30,615939
25,Santiago del Estero,2017-09-30,97936
26,Tierra del Fuego,2017-09-30,39928
24,Tucumán,2017-09-30,179573
1,Buenos Aires,2017-06-30,2580455
2,Capital Federal,2017-06-30,708949
3,Catamarca,2017-06-30,40448
4,Chaco,2017-06-30,91455
5,Chubut,2017-06-30,72663
6,Córdoba,2017-06-30,1019606
7,Corrientes,2017-06-30,93029
8,Entre Ríos,2017-06-30,162496
9,Formosa,2017-06-30,47888
10,Jujuy,2017-06-30,84568
11,La Pampa,2017-06-30,99285
12,La Rioja,2017-06-30,24114
13,Mendoza,2017-06-30,113243
14,Misiones,2017-06-30,123028
15,Neuquén,2017-06-30,110681
16,Río Negro,2017-06-30,58240
17,Salta,2017-06-30,256395
18,San Juan,2017-06-30,40621
19,San Luis,2017-06-30,54893
20,Santa Cruz,2017-06-30,50140
21,Santa Fe,2017-06-30,618927
25,Santiago del Estero,2017-06-30,97231
26,Tierra del Fuego,2017-06-30,38896
24,Tucumán,2017-06-30,179233
1,Buenos Aires,2017-03-31,2572848
2,Capital Federal,2017-03-31,708805
3,Catamarca,2017-03-31,29655
4,Chaco,2017-03-31,87920
5,Chubut,2017-03-31,72838
6,Córdoba,2017-03-31,1022544
7,Corrientes,2017-03-31,93332
8,Entre Ríos,2017-03-31,160444
9,Formosa,2017-03-31,48699
10,Jujuy,2017-03-31,84116
11,La Pampa,2017-03-31,101390
12,La Rioja,2017-03-31,24415
13,Mendoza,2017-03-31,116672
14,Misiones,2017-03-31,123346
15,Neuquén,2017-03-31,110781
16,Río Negro,2017-03-31,52481
17,Salta,2017-03-31,171113
18,San Juan,2017-03-31,40819
19,San Luis,2017-03-31,57104
20,Santa Cruz,2017-03-31,50321
21,Santa Fe,2017-03-31,612749
25,Santiago del Estero,2017-03-31,97561
26,Tierra del Fuego,2017-03-31,38724
24,Tucumán,2017-03-31,124655
1,Buenos Aires,2016-12-31,2535921
2,Capital Federal,2016-12-31,712478
3,Catamarca,2016-12-31,30124
4,Chaco,2016-12-31,88363
5,Chubut,2016-12-31,72721
6,Córdoba,2016-12-31,1009280
7,Corrientes,2016-12-31,93490
8,Entre Ríos,2016-12-31,155923
9,Formosa,2016-12-31,46293
10,Jujuy,2016-12-31,81754
11,La Pampa,2016-12-31,100574
12,La Rioja,2016-12-31,25719
13,Mendoza,2016-12-31,116997
14,Misiones,2016-12-31,123220
15,Neuquén,2016-12-31,110825
16,Río Negro,2016-12-31,54014
17,Salta,2016-12-31,172942
18,San Juan,2016-12-31,39847
19,San Luis,2016-12-31,54337
20,Santa Cruz,2016-12-31,50923
21,Santa Fe,2016-12-31,617120
25,Santiago del Estero,2016-12-31,98021
26,Tierra del Fuego,2016-12-31,38707
24,Tucumán,2016-12-31,124208
1,Buenos Aires,2016-09-30,2521023
2,Capital Federal,2016-09-30,716755
3,Catamarca,2016-09-30,29763
4,Chaco,2016-09-30,90191
5,Chubut,2016-09-30,72693
