Id_Provincia,Provincia,Fecha,Accesos por cada 100 hab
2,Capital Federal,2018-03-31,44.5629613204179
3,Catamarca,2018-03-31,8.34209853727587
4,Chaco,2018-03-31,8.240328535252
5,Chubut,2018-03-31,16.4663265563409
6,Córdoba,2018-03-31,19.4473810733398
7,Corrientes,2018-03-31,8.60133260210877
8,Entre Ríos,2018-03-31,14.5556734563254
9,Formosa,2018-03-31,5.44800982825826
10,Jujuy,2018-03-31,5.91282950582615
11,La Pampa,2018-03-31,23.6412486623102
12,La Rioja,2018-03-31,13.6947700631199
13,Mendoza,2018-03-31,10.3458430919679
14,Misiones,2018-03-31,8.43227841660731
15,Neuquén,2018-03-31,18.3128386973519
16,Río Negro,2018-03-31,15.3235670915437
17,Salta,2018-03-31,9.63384544384639
18,San Juan,2018-03-31,8.30680071057099
19,San Luis,2018-03-31,4.33561502267505
20,Santa Cruz,2018-03-31,9.98473486255572
21,Santa Fe,2018-03-31,19.5846823687574
22,Santiago Del Estero,2018-03-31,8.68350419053065
23,Tierra Del Fuego,2018-03-31,19.3315233343117
24,Tucumán,2018-03-31,10.2001773500551
1,Buenos Aires,2017-12-31,18.6146492483549
2,Capital Federal,2017-12-31,51.6167209151056
