Id_Provincia,Provincia,Fecha,Accesos por cada 100 hogares
7,Corrientes,2018-09-30,34.2499388738322
8,Entre Ríos,2018-09-30,50.2220138583775
9,Formosa,2018-09-30,29.5765734288784
10,Jujuy,2018-09-30,23.2637001371955
11,La Pampa,2018-09-30,71.7502365184484
12,La Rioja,2018-09-30,50.7330431805956
13,Mendoza,2018-09-30,37.9905972679962
14,Misiones,2018-09-30,32.103666418059
15,Neuquén,2018-09-30,60.4866167439691
16,Río Negro,2018-09-30,50.5426480870375
17,Salta,2018-09-30,39.4274134206841
18,San Juan,2018-09-30,33.0514165039238
19,San Luis,2018-09-30,52.3531149755192
20,Santa Cruz,2018-09-30,32.7278502945593
21,Santa Fe,2018-09-30,63.4096146162309
22,Santiago Del Estero,2018-09-30,36.2496169780513
23,Tierra Del Fuego,2018-09-30,92.7719183939406
24,Tucumán,2018-09-30,41.6810135952876
1,Buenos Aires,2018-06-30,62.7822665109499
2,Capital Federal,2018-06-30,106.534941281467
3,Catamarca,2018-06-30,32.8575008674866
4,Chaco,2018-06-30,31.2517049960349
5,Chubut,2018-06-30,54.9023033373551
6,Córdoba,2018-06-30,63.2743661231958
7,Corrientes,2018-06-30,33.8097539088117
8,Entre Ríos,2018-06-30,49.2026118705284
9,Formosa,2018-06-30,29.434226520797
10,Jujuy,2018-06-30,23.4322027298545
11,La Pampa,2018-06-30,71.0403378727806
12,La Rioja,2018-06-30,50.9778907392324
13,Mendoza,2018-06-30,36.9728727240613
14,Misiones,2018-06-30,31.6309076822218
15,Neuquén,2018-06-30,60.2367916140203
16,Río Negro,2018-06-30,50.1478946239634
17,Salta,2018-06-30,39.9371920998973
18,San Juan,2018-06-30,32.9466488486842
19,San Luis,2018-06-30,15.1504244913514
20,Santa Cruz,2018-06-30,33.3323645100661
21,Santa Fe,2018-06-30,62.5707923995744
22,Santiago Del Estero,2018-06-30,35.2564642111642
23,Tierra Del Fuego,2018-06-30,91.6051962953856
24,Tucumán,2018-06-30,41.5125631700174
1,Buenos Aires,2018-03-31,62.6262116616845
2,Capital Federal,2018-03-31,106.235671745868
3,Catamarca,2018-03-31,32.7936161374153
4,Chaco,2018-03-31,30.8299276457025
5,Chubut,2018-03-31,53.7156048824891
6,Córdoba,2018-03-31,63.5171696520162
7,Corrientes,2018-03-31,32.6634608731751
8,Entre Ríos,2018-03-31,48.6812024178572
9,Formosa,2018-03-31,21.4043102592114
10,Jujuy,2018-03-31,23.1212608756775
11,La Pampa,2018-03-31,71.751636922758
12,La Rioja,2018-03-31,51.4435101124481
13,Mendoza,2018-03-31,37.0721511024033
14,Misiones,2018-03-31,30.9567358844696
15,Neuquén,2018-03-31,61.5173903515637
16,Río Negro,2018-03-31,49.8168613122324
17,Salta,2018-03-31,39.7755916329188
18,San Juan,2018-03-31,32.6091774516929
19,San Luis,2018-03-31,15.1487903482749
20,Santa Cruz,2018-03-31,33.5527598985762
21,Santa Fe,2018-03-31,62.2819984430096
22,Santiago Del Estero,2018-03-31,34.9882694482421
23,Tierra Del Fuego,2018-03-31,65.1996370235935
24,Tucumán,2018-03-31,41.1760093888662
1,Buenos Aires,2017-12-31,57.6096152902582
2,Capital Federal,2017-12-31,122.89742418735
3,Catamarca,2017-12-31,28.6209500939249
4,Chaco,2017-12-31,30.8081581112365
5,Chubut,2017-12-31,51.4630962674935
6,Córdoba,2017-12-31,63.3326256520777
7,Corrientes,2017-12-31,32.5151183111876
